monomer,pathway,pathway_order,hmm_name,cutoff
streptidine,1,5,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
streptidine,1,6,streptidine_6.hmm,430
streptidine,1,7,streptidine_7.hmm,0
streptidine,1,7,streptidine_7__2.hmm,400
streptidine,1,7,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
N-methyl-glucosamine,1,1,N-methyl-glucosamine_BGC724_BGC724_alter_1.hmm,0
N-methyl-glucosamine,1,2,N-methyl-glucosamine_BGC724_BGC724_alter_2.hmm,155
N-methyl-glucosamine,1,3,actinospectose_BGC715_2_actinospectose_BGC716_2_a_actinospectose_BGC715_5_D-fucose_3_L-lyxose_2_4-acetyl-D-fucose_1.hmm,200
N-methyl-glucosamine,1,4,2-deoxystreptamine_2_2-deoxystreptamine_4_2-deoxy-scyllo-inosamine_2_N-methyl-glucosamine_BGC724_BGC724_alter_4_streptidine_4_streptidine_7__3.hmm,580
N-methyl-glucosamine,1,5,N-methyl-glucosamine_BGC724_BGC724_alter_5.hmm,100
N-methyl-glucosamine,1,6,N-methyl-glucosamine_BGC724_BGC724_alter_6.hmm,0
p-hydroxymandelonitrile,1,1,p-hydroxymandelonitrile_1.hmm,0
p-hydroxymandelonitrile,1,2,p-hydroxymandelonitrile_2.hmm,0
"2,7DAOct",1,1,2_7DAOct_1.hmm,0
"2,7DAOct",1,2,2_7DAOct_2.hmm,0
"2,7DAOct",1,3,2_7DAOct_3a.hmm,0
"2,7DAOct",2,1,2_7DAOct_1.hmm,0
"2,7DAOct",2,2,2_7DAOct_2.hmm,200
"2,7DAOct",2,3,2_7DAOct_3b.hmm,100
"2,7DAOct",3,1,2_7DAOct_1.hmm,0
"2,7DAOct",3,2,2_7DAOct_2.hmm,0
"2,7DAOct",3,3,2_7DAOct_3c.hmm,0
"2,7DAOct",4,1,2_7DAOct_1.hmm,0
"2,7DAOct",4,2,2_7DAOct_2.hmm,0
"2,7DAOct",4,3,2_7DAOct_3d.hmm,0
myo-inositol,1,1,myo-inositol_1.hmm,100
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,1,3_4_dihydroxy_alpha_methylcinnamic_acid_1.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,2,3_4_dihydroxy_alpha_methylcinnamic_acid_2.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,3,3_4_dihydroxy_alpha_methylcinnamic_acid_3.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,4,3_4_dihydroxy_alpha_methylcinnamic_acid_4.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,5,3_4_dihydroxy_alpha_methylcinnamic_acid_5.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,6,3_4_dihydroxy_alpha_methylcinnamic_acid_6.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,7,3_4_dihydroxy_alpha_methylcinnamic_acid_7.hmm,0
"3,4-dihydroxy-alpha-methylcinnamic-acid",1,8,3_4_dihydroxy_alpha_methylcinnamic_acid_8.hmm,0
5'-hydrostreptose,1,1,dihydrostreptose_1.hmm,0
5'-hydrostreptose,1,2,"dihydrostreptose_2_4-amino-4,6-dideoxy-D-glucose_1_D-olivose_1_2-deoxy-D-evalose_1_actinospectose_BGC715_BGC716_1.hmm",0
5'-hydrostreptose,1,3,"dihydrostreptose_3_4-amino-4,6-dideoxy-D-glucose_2_4-carboxyformimidoyl-kasugamine_1_D-olivose_2_2-deoxy-D-evalose_2_actinospectose_BGC716_2_b_streptidine_5.hmm",200
5'-hydrostreptose,1,4,dihydrostreptose_4.hmm,0
5'-hydrostreptose,1,5,dihydrostreptose_5_1-epi-valienol-7-phosphate_BGC804_4.hmm,0
