name,smiles,inchikey14,exact_mass
compound_22,OC1CC(CO)OC(OC3C(OC(C3(CO)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C1NC,RYVYNBFUZASTLB,567.2864051320001
compound_23,OC1C=C(CO)OC(OC3C(OC(C3(CO)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C1NC,QAEUGFDXXQMUEL,565.2707550680001
compound_24,OC1C(O)=C(CO)OC(OC3C(OC(C3(CO)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C1NC,KNSKYYKZZNSXMI,581.265669688
compound_25,OC1C(O)C(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,KXMGOBBJWZAMFI,593.265669688
compound_26,OC1C(O)=C(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,NRFNADVKDGVGGG,591.2500196240001
compound_27,OC1CC(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,UNOFNMWJPUOTFX,577.2707550680001
compound_28,OC1C(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C(C1)NC,KMIAKNSZQFTSSR,577.2707550680001
compound_29,OCC1OC(OC5C(OC(C5(C=O)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,IRKSXCKZURBFTH,605.265669688
compound_30,OCC1OC(OC5C(OC(C5(C=O)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,IRKSXCKZURBFTH,605.265669688
compound_31,OC1C(O)C(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,KXMGOBBJWZAMFI,593.265669688
compound_32,OC1C(O)=C(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,NRFNADVKDGVGGG,591.2500196240001
compound_33,OC1CC(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,UNOFNMWJPUOTFX,577.2707550680001
compound_34,OC1C(CO)OC(OC4C(OC(C4(C=O)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C(C1)NC,KMIAKNSZQFTSSR,577.2707550680001
compound_35,OCC1OC(OC5C(OC(C5(C=O)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,IRKSXCKZURBFTH,605.265669688
compound_36,OCC1OC(OC4C(OC(C4(C=O)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C1OCO2)NC,WFRCRNXQEPVGQL,593.265669688
compound_37,OCC=1OC(OC4C(OC(C4(C=O)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C=1OCO2)NC,ZAHPBLRYGGNKBS,591.2500196240001
compound_38,OCC1OC(OC4C(OC(C4(C=O)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C1OCO2)NC,WFRCRNXQEPVGQL,593.265669688
compound_39,OCC=1OC(OC4C(OC(C4(C=O)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C=1OCO2)NC,ZAHPBLRYGGNKBS,591.2500196240001
compound_40,OC1C(CO)OC(OC3C(OC(C3(C=O)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C(C1)NC,WSBMZEGXIMGRNA,565.2707550680001
compound_41,OC1=C(CO)OC(OC3C(OC(C3(C=O)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C(C1)NC,APDIWUBRGZHUQR,563.2551050040001
compound_42,OCC1OC(OC3C(OC(C3(C=O)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C(CC1)NC,PXRAOUGDGMBLAZ,549.275840448
compound_43,OC1CC(CO)OC(OC3C(OC(C3(C=O)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C1NC,FHQUGWMMIKUPKF,565.2707550680001
compound_44,OC1C=C(CO)OC(OC3C(OC(C3(C=O)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C1NC,ONTLYROPAAPDGQ,563.2551050040001
compound_45,OC1C(O)=C(CO)OC(OC3C(OC(C3(C=O)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C1NC,LDXPRQLGSBVIFB,579.2500196240001
compound_46,OCC1OC(OC5C(OC(C5(C=O)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,IRKSXCKZURBFTH,605.265669688
compound_47,CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,ASXBYYWOLISCLQ,583.281319752
compound_48,CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,UCSJYZPVAKXKNQ,581.2656696879999
