name,smiles,inchikey14,exact_mass
compound_33,O3C(C2OC(C13OCOC12)O)C,MUUDGCZNXLFGDT,174.05282342
compound_34,OC1C2C(OCO2)OC1C(O)C,NNKGCXNDVSQHBD,176.068473484
compound_35,OC2C13C(OCO3)OC2C(O1)C,CPAOPVSMAZKTPV,174.05282342
compound_36,O1C(C3C2(O3)C1OCO2)C(O)C,LWFWRCGWRYDQJH,174.05282342
compound_37,OC1OC(C2C1OCO2)C(O)C,AYXLKUCPSRIBHU,176.068473484
compound_38,O3C(C2OC(C13OCOC12)O)C,MUUDGCZNXLFGDT,174.05282342
compound_39,OC12C(O)OC(C1O2)C(O)C,NSJOPRVGENEBLA,162.05282342
compound_40,OC1OC2C(OC13C2O3)(O)C,LTFALMQIFGGKCS,160.037173356
compound_41,O3C12C3(O2)C(O)OC1C(O)C,PGRPFNGSPQABDI,160.037173356
compound_42,OC2C1(O)C(O)OC2C(O1)C,AYFPJCIRVHCVAJ,162.05282342
compound_43,O3C1(C2OC(C3(C2O)O1)O)C,SFDHWMHNXHGXBH,160.037173356
compound_44,O3C(C2OC(C13OC12O)O)C,ONNNGUQRADGPNQ,160.037173356
compound_45,OC1OC(C2(O)C1O2)C(O)C,IPAQQSGCMOPENU,162.05282342
compound_46,OC2C1C(O)OC2C(O1)(O)C,IUXRTMSWHFDKDK,162.05282342
compound_47,O=CC1(O)C2C(OCO2)OC1C,ANTSXLIXPJHTHY,174.05282342
compound_48,O=CC1(O)C2C(OCO2)OC1C,ANTSXLIXPJHTHY,174.05282342
compound_49,OCC1(O)C2C(OCO2)OC1C,HRKHNJXMAURHPO,176.068473484
compound_50,OCC1(O)C2C(OCO2)OC1C,HRKHNJXMAURHPO,176.068473484
compound_51,OC1C(O)=C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,JPNNCGZCMUJABJ,350.13253028400004
compound_52,OC1CC(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,IRDDUGAPAQVZES,336.15326572800006
compound_53,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_54,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_55,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_56,OC1C(O)C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,BAKNMZKJEMGAOI,352.14818034800004
compound_57,OC1C(O)=C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,KXWFWERNUMOTRY,350.13253028400004
compound_58,OC1CC(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,UVXFPMILSBUXNW,336.15326572800006
compound_59,OC1C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C(C1)N,XJKOFUBJWUNKJG,336.15326572800006
compound_60,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
compound_61,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
compound_62,OC1C(O)C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,TZYBQQVOIHLION,352.14818034800004
compound_63,OC1C(O)=C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,JPNNCGZCMUJABJ,350.13253028400004
compound_64,OC1CC(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,IRDDUGAPAQVZES,336.15326572800006
compound_65,OC1C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C(C1)N,IRSKHSJWGHFNNX,336.15326572800006
compound_66,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_67,OCC1OC(OC4C(C3OCOC3C(C4O)O)N)C(C2C1OCO2)N,ARVSRSBTWKESES,364.148180348
compound_68,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_69,OC1C(O)C(CO)OC(OC4C(C2OCOC2C3OCOC34)N)C1N,GDMYDOYGAWFGPZ,364.14818034800004
compound_70,OC1C(O)C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,FKTWAEJXFDLKRS,352.14818034800004
compound_71,OC1C(O)=C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,WKLUZZPOINRNDD,350.13253028400004
compound_72,OC1CC(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C1N,RNEWGWOUJKQMTE,336.15326572800006
compound_73,OC1C(CO)OC(OC3C(C(C(C2OCOC23)O)O)N)C(C1)N,VOMZAKGODFKARV,336.15326572800006
compound_74,OCC1OC(OC4C(C(C(C3OCOC34)O)O)N)C(C2C1OCO2)N,WQLQEGYOHSZGBO,364.148180348
compound_75,OC1C(O)C(CO)OC(OC3C(C2OCOC2C(C3O)O)N)C1N,TZYBQQVOIHLION,352.14818034800004
compound_76,OC1C(O)C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,BAKNMZKJEMGAOI,352.14818034800004
compound_77,OC1C(O)=C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,KXWFWERNUMOTRY,350.13253028400004
compound_78,OC1CC(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C1N,UVXFPMILSBUXNW,336.15326572800006
compound_79,OC1C(CO)OC(OC3C(C(C2OCOC2C3O)O)N)C(C1)N,XJKOFUBJWUNKJG,336.15326572800006
compound_80,OCC1OC(OC4C(C(C3OCOC3C4O)O)N)C(C2C1OCO2)N,YLWKFCUGMFSIPS,364.148180348
